title,genre,year,director
Letters from Iwo Jima,"Action, Adventure, Drama",2006.0,Clint Eastwood
The Fall,"Adventure, Drama, Fantasy",2006.0,Tarsem Singh
Life of Pi,"Adventure, Drama, Fantasy",2012.0,Ang Lee
Fantastic Mr. Fox,"Animation, Adventure, Comedy",2009.0,Wes Anderson
C.R.A.Z.Y.,"Comedy, Drama",2005.0,Jean-Marc Vallée
Les choristes,"Drama, Music",2004.0,Christophe Barratier
Iron Man,"Action, Adventure, Sci-Fi",2008.0,Jon Favreau
Shaun of the Dead,"Comedy, Horror",2004.0,Edgar Wright
Gegen die Wand,"Drama, Romance",2004.0,Fatih Akin
Mystic River,"Crime, Drama, Mystery",2003.0,Clint Eastwood
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",2004.0,Alfonso Cuarón
Ying xiong,"Action, Adventure, History",2002.0,Yimou Zhang
Hable con ella,"Drama, Mystery, Romance",2002.0,Pedro Almodóvar
No Man's Land,"Comedy, Drama, War",2001.0,Danis Tanovic
Cowboy Bebop: Tengoku no tobira,"Animation, Action, Crime",2001.0,Shin'ichirô Watanabe
The Bourne Identity,"Action, Mystery, Thriller",2002.0,Doug Liman
Nueve reinas,"Crime, Drama, Thriller",2000.0,Fabián Bielinsky
Children of Men,"Adventure, Drama, Sci-Fi",2006.0,Alfonso Cuarón
Almost Famous,"Adventure, Comedy, Drama",2000.0,Cameron Crowe
Mulholland Dr.,"Drama, Mystery, Thriller",2001.0,David Lynch
The Gentlemen,"Action, Comedy, Crime",2019.0,Guy Ritchie
Raazi,"Action, Drama, Thriller",2018.0,Meghna Gulzar
Sound of Metal,"Drama, Music",2019.0,Darius Marder
Forushande,Drama,2016.0,Asghar Farhadi
Dunkirk,"Action, Drama, History",2017.0,Christopher Nolan
Perfetti sconosciuti,"Comedy, Drama",2016.0,Paolo Genovese
Hidden Figures,"Biography, Drama, History",2016.0,Theodore Melfi
Paddington 2,"Adventure, Comedy, Family",2017.0,Paul King
Udta Punjab,"Action, Crime, Drama",2016.0,Abhishek Chaubey
Kubo and the Two Strings,"Animation, Action, Adventure",2016.0,Travis Knight
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",2016.0,Neeraj Pandey
Manchester by the Sea,Drama,2016.0,Kenneth Lonergan
Under sandet,"Drama, History, War",2015.0,Martin Zandvliet
Rogue One,"Action, Adventure, Sci-Fi",2016.0,Gareth Edwards
Captain America: Civil War,"Action, Adventure, Sci-Fi",2016.0,Anthony Russo
The Hateful Eight,"Crime, Drama, Mystery",2015.0,Quentin Tarantino
Little Women,"Drama, Romance",2019.0,Greta Gerwig
Loving Vincent,"Animation, Biography, Crime",2017.0,Dorota Kobiela
Pride,"Biography, Comedy, Drama",2014.0,Matthew Warchus
Le passé,"Drama, Mystery",2013.0,Asghar Farhadi
La grande bellezza,Drama,2013.0,Paolo Sorrentino
The Lunchbox,"Drama, Romance",2013.0,Ritesh Batra
Vicky Donor,"Comedy, Romance",2012.0,Shoojit Sircar
Big Hero 6,"Animation, Action, Adventure",2014.0,Don Hall
About Time,"Comedy, Drama, Fantasy",2013.0,Richard Curtis
English Vinglish,"Comedy, Drama, Family",2012.0,Gauri Shinde
Kaze tachinu,"Animation, Biography, Drama",2013.0,Hayao Miyazaki
Toy Story 4,"Animation, Adventure, Comedy",2019.0,Josh Cooley
La migliore offerta,"Crime, Drama, Mystery",2013.0,Giuseppe Tornatore
Moonrise Kingdom,"Comedy, Drama, Romance",2012.0,Wes Anderson
How to Train Your Dragon 2,"Animation, Action, Adventure",2014.0,Dean DeBlois
The Big Short,"Biography, Comedy, Drama",2015.0,Adam McKay
Kokuhaku,"Drama, Thriller",2010.0,Tetsuya Nakashima
Ang-ma-reul bo-at-da,"Action, Crime, Drama",2010.0,Jee-woon Kim
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",2011.0,David Fincher
Captain Phillips,"Adventure, Biography, Crime",2013.0,Paul Greengrass
Ajeossi,"Action, Crime, Drama",2010.0,Jeong-beom Lee
Straight Outta Compton,"Biography, Drama, History",2015.0,F. Gary Gray
Madeo,"Crime, Drama, Mystery",2009.0,Bong Joon Ho
Chugyeokja,"Action, Crime, Thriller",2008.0,Hong-jin Na
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",2013.0,Peter Jackson
Das weiße Band - Eine deutsche Kindergeschichte,"Drama, History, Mystery",2009.0,Michael Haneke
Män som hatar kvinnor,"Crime, Drama, Mystery",2009.0,Niels Arden Oplev
The Trial of the Chicago 7,"Drama, History, Thriller",2020.0,Aaron Sorkin
Druk,"Comedy, Drama",2020.0,Thomas Vinterberg
The Fighter,"Biography, Drama, Sport",2010.0,David O. Russell
Taken,"Action, Thriller",2008.0,Pierre Morel
The Boy in the Striped Pyjamas,"Drama, History, War",2008.0,Mark Herman
Once,"Drama, Music, Romance",2007.0,John Carney
The Hobbit: An Unexpected Journey,"Adventure, Fantasy",2012.0,Peter Jackson
Auf der anderen Seite,Drama,2007.0,Fatih Akin
Atonement,"Drama, Mystery, Romance",2007.0,Joe Wright
Drive,"Crime, Drama",2011.0,Nicolas Winding Refn
American Gangster,"Biography, Crime, Drama",2007.0,Ridley Scott
Avatar,"Action, Adventure, Fantasy",2009.0,James Cameron
Mr. Nobody,"Drama, Fantasy, Romance",2009.0,Jaco Van Dormael
Apocalypto,"Action, Adventure, Drama",2006.0,Mel Gibson
Little Miss Sunshine,"Comedy, Drama",2006.0,Jonathan Dayton
Hot Fuzz,"Action, Comedy, Mystery",2007.0,Edgar Wright
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",2008.0,David Fincher
Veer-Zaara,"Drama, Family, Musical",2004.0,Yash Chopra
Adams æbler,"Comedy, Crime, Drama",2005.0,Anders Thomas Jensen
Pride & Prejudice,"Drama, Romance",2005.0,Joe Wright
The World's Fastest Indian,"Biography, Drama, Sport",2005.0,Roger Donaldson
Tôkyô goddofâzâzu,"Animation, Adventure, Comedy",2003.0,Satoshi Kon
Serenity,"Action, Adventure, Sci-Fi",2005.0,Joss Whedon
Walk the Line,"Biography, Drama, Music",2005.0,James Mangold
Ondskan,Drama,2003.0,Mikael Håfström
The Notebook,"Drama, Romance",2004.0,Nick Cassavetes
Diarios de motocicleta,"Adventure, Biography, Drama",2004.0,Walter Salles
Lilja 4-ever,"Crime, Drama",2002.0,Lukas Moodysson
Les triplettes de Belleville,"Animation, Comedy, Drama",2003.0,Sylvain Chomet
Gongdong gyeongbi guyeok JSA,"Action, Drama, Thriller",2000.0,Chan-wook Park
The Count of Monte Cristo,"Action, Adventure, Drama",2002.0,Kevin Reynolds
Waking Life,"Animation, Drama, Fantasy",2001.0,Richard Linklater
Remember the Titans,"Biography, Drama, Sport",2000.0,Boaz Yakin
Wo hu cang long,"Action, Adventure, Fantasy",2000.0,Ang Lee
Cast Away,"Adventure, Drama, Romance",2000.0,Robert Zemeckis
Shrek,"Animation, Adventure, Comedy",2001.0,Andrew Adamson
Roma,Drama,2018.0,Alfonso Cuarón
God's Own Country,"Drama, Romance",2017.0,Francis Lee
Deadpool 2,"Action, Adventure, Comedy",2018.0,David Leitch
Wind River,"Crime, Drama, Mystery",2017.0,Taylor Sheridan
Get Out,"Horror, Mystery, Thriller",2017.0,Jordan Peele
Mission: Impossible - Fallout,"Action, Adventure, Thriller",2018.0,Christopher McQuarrie
En man som heter Ove,"Comedy, Drama, Romance",2015.0,Hannes Holm
What We Do in the Shadows,"Comedy, Horror",2014.0,Jemaine Clement
Omoide no Mânî,"Animation, Drama, Family",2014.0,James Simone
The Theory of Everything,"Biography, Drama, Romance",2014.0,James Marsh
Kingsman: The Secret Service,"Action, Adventure, Comedy",2014.0,Matthew Vaughn
The Fault in Our Stars,"Drama, Romance",2014.0,Josh Boone
Me and Earl and the Dying Girl,"Comedy, Drama",2015.0,Alfonso Gomez-Rejon
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",2014.0,Alejandro G. Iñárritu
La vie d'Adèle,"Drama, Romance",2013.0,Abdellatif Kechiche
Kai po che!,"Drama, Sport",2013.0,Abhishek Kapoor
The Broken Circle Breakdown,"Drama, Music, Romance",2012.0,Felix van Groeningen
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",2014.0,Anthony Russo
Rockstar,"Drama, Music, Musical",2011.0,Imtiaz Ali
Nebraska,"Adventure, Comedy, Drama",2013.0,Alexander Payne
Wreck-It Ralph,"Animation, Adventure, Comedy",2012.0,Rich Moore
Le Petit Prince,"Animation, Adventure, Drama",2015.0,Mark Osborne
Detachment,Drama,2011.0,Tony Kaye
Midnight in Paris,"Comedy, Fantasy, Romance",2011.0,Woody Allen
The Lego Movie,"Animation, Action, Adventure",2014.0,Christopher Miller
Gravity,"Drama, Sci-Fi, Thriller",2013.0,Alfonso Cuarón
Star Trek Into Darkness,"Action, Adventure, Sci-Fi",2013.0,J.J. Abrams
Beasts of No Nation,"Drama, War",2015.0,Cary Joji Fukunaga
The Social Network,"Biography, Drama",2010.0,David Fincher
X: First Class,"Action, Adventure, Sci-Fi",2011.0,Matthew Vaughn
The Hangover,Comedy,2009.0,Todd Phillips
Skyfall,"Action, Adventure, Thriller",2012.0,Sam Mendes
Silver Linings Playbook,"Comedy, Drama, Romance",2012.0,David O. Russell
Argo,"Biography, Drama, Thriller",2012.0,Ben Affleck
(500) Days of Summer,"Comedy, Drama, Romance",2009.0,Marc Webb
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",2010.0,David Yates
Gake no ue no Ponyo,"Animation, Adventure, Comedy",2008.0,Hayao Miyazaki
Frost/Nixon,"Biography, Drama, History",2008.0,Ron Howard
Papurika,"Animation, Drama, Fantasy",2006.0,Satoshi Kon
Changeling,"Biography, Crime, Drama",2008.0,Clint Eastwood
Flipped,"Comedy, Drama, Romance",2010.0,Rob Reiner
